horodatage;evenement;id;titre;prix;prix_avant;km;annee;batterie_soh;ville;departement;url
2026-08-27T04:29:19;nouvelle;autoscout24:4955dd99-d4e9-4717-96eb-05f68716c546;Megane E-Tech Electric EV60 220ch Iconic super charge -B;27299;;29842;2023;;SAINT AVOLD;57;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-b-electrique-cat_ma60mo1965-4955dd99-d4e9-4717-96eb-05f68716c546
2026-08-27T04:29:19;nouvelle;autoscout24:49a059e1-072e-4d9f-a7b5-0e68c1703e10;Megane E-Tech Electric EV60 220ch Iconic super charge;27799;;31246;2023;;Troyes;10;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-electrique-cat_ma60mo1965-49a059e1-072e-4d9f-a7b5-0e68c1703e10
2026-08-27T04:29:19;nouvelle;autoscout24:54b263af-33b2-4813-ba35-f0c40d8e40d9;Megane E-Tech Electric EV60 220ch Equilibre super charge -B;23999;;39984;2023;;Longuenesse;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-equilibre-super-charge-b-electrique-cat_ma60mo1965-54b263af-33b2-4813-ba35-f0c40d8e40d9
2026-08-27T04:29:19;nouvelle;autoscout24:59ada823-ed82-4a5a-8092-ac41ce78d921;Megane E-Tech Electric EV60 220ch Iconic super charge;24999;;79732;2023;;Longuenesse;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-electrique-cat_ma60mo1965-59ada823-ed82-4a5a-8092-ac41ce78d921
2026-08-27T04:29:19;nouvelle;autoscout24:59d13bd4-79b4-4735-9732-f8d81abb0b12;Megane E-Tech Electric 220ch Techno autonomie confort -25;29499;;10360;2025;;Dunkerque;59;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-220ch-techno-autonomie-confort-25-electrique-cat_ma60mo1965-59d13bd4-79b4-4735-9732-f8d81abb0b12
2026-08-27T04:29:19;nouvelle;autoscout24:5c2d0dd6-3098-4fe6-9aa4-0f113b19700c;Megane E-Tech Electric EV60 220ch Iconic optimum charge;25699;;67649;2023;;Dunkerque;59;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-optimum-charge-electrique-cat_ma60mo1965-5c2d0dd6-3098-4fe6-9aa4-0f113b19700c
2026-08-27T04:29:19;nouvelle;autoscout24:5d2ac470-4078-425c-af74-4d317878b3ec;Megane E-Tech Electric EV60 220ch Iconic super charge -C;25999;;57637;2023;;SALON-DE-PROVENCE;13;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-c-electrique-cat_ma60mo1965-5d2ac470-4078-425c-af74-4d317878b3ec
2026-08-27T04:29:19;nouvelle;autoscout24:611dd64e-b4a7-4c8b-bb50-99e2d39c2f95;Megane E-Tech Electric EV60 130ch Evolution ER super charge -B;25999;;29308;2023;;Fouquieres les Bethune;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-130ch-evolution-er-super-charge-b-electrique-cat_ma60mo1965-611dd64e-b4a7-4c8b-bb50-99e2d39c2f95
2026-08-27T04:29:19;nouvelle;autoscout24:62c362ff-f925-47d3-81be-d10fb446b0ee;Megane E-Tech Electric EV60 220ch Techno super charge -B;25499;;43563;2023;;SALON-DE-PROVENCE;13;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-b-electrique-cat_ma60mo1965-62c362ff-f925-47d3-81be-d10fb446b0ee
2026-08-27T04:29:19;nouvelle;autoscout24:64e55011-230a-4aa4-9ade-5488194b9152;Megane E-Tech Electric EV60 220ch Equilibre super charge;26499;;17246;2023;;Arras;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-equilibre-super-charge-electrique-cat_ma60mo1965-64e55011-230a-4aa4-9ade-5488194b9152
2026-08-27T04:29:19;nouvelle;autoscout24:663654ce-4573-4bd9-8f4a-672708e1e854;Megane E-Tech Electric EV60 220ch Techno super charge -C;25999;;45000;2023;;Loison sur Lens;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-c-electrique-cat_ma60mo1965-663654ce-4573-4bd9-8f4a-672708e1e854
2026-08-27T04:29:19;nouvelle;autoscout24:666976bb-ce8c-4223-9e6a-f6db85f7aad2;Megane E-Tech Electric EV60 220ch Iconic super charge -B;25299;;71164;2023;;Longuenesse;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-b-electrique-cat_ma60mo1965-666976bb-ce8c-4223-9e6a-f6db85f7aad2
2026-08-27T04:29:19;nouvelle;autoscout24:66fb56fe-4de5-446e-b03f-4444a9e8d1ae;Megane E-Tech Electric EV60 220ch Iconic super charge;24999;;84928;2023;;Thionville;57;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-electrique-cat_ma60mo1965-66fb56fe-4de5-446e-b03f-4444a9e8d1ae
2026-08-27T04:29:19;nouvelle;autoscout24:6a6d4c7d-0cdb-4ec1-9523-69e251c7d3b1;Megane E-Tech Electric 220ch 60kWh esprit Alpine autonomie confort -25;40090;;9000;2026;;Saint Alban Leysse;73;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-220ch-60kwh-esprit-alpine-autonomie-confort-25-electrique-cat_ma60mo1965-6a6d4c7d-0cdb-4ec1-9523-69e251c7d3b1
2026-08-27T04:29:19;nouvelle;autoscout24:6b627f41-6168-4668-93e6-2c4a6a3029cf;Megane E-Tech Electric EV60 220ch Equilibre optimum charg;38990;;8000;2023;;Reims;51;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-equilibre-optimum-charg-electrique-cat_ma60mo1965-6b627f41-6168-4668-93e6-2c4a6a3029cf
2026-08-27T04:29:19;nouvelle;autoscout24:6d2e5b22-ddab-4e0d-83f3-652f48d1a1b7;Megane E-Tech Electric EV60 220ch Iconic super charge -B;26299;;60764;2023;;Longuenesse;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-b-electrique-cat_ma60mo1965-6d2e5b22-ddab-4e0d-83f3-652f48d1a1b7
